Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Population, total",SP.POP.TOTL,Heavily indebted poor countries (HIPC),HPC,735429414,756895035,779389964,802020674,824649053,847743308,870930036
"Population, total",SP.POP.TOTL,High income,HIC,1366013616,1374284415,1380319892,1385103279,1389779202,1393490142,1391839631
"Population, total",SP.POP.TOTL,IBRD only,IBD,4676922961,4721753602,4765998583,4807240463,4845361414,4878606096,4905534420
"Population, total",SP.POP.TOTL,IDA & IBRD total,IBT,6281111240,6360340293,6440236993,6518316997,6594502842,6666779721,6732972939
"Population, total",SP.POP.TOTL,IDA blend,IDB,567234056,578463670,590024074,601951913,614017319,626440308,639196319
"Population, total",SP.POP.TOTL,IDA only,IDX,1036954223,1060123021,1084214336,1109124621,1135124109,1161733317,1188242200
"Population, total",SP.POP.TOTL,IDA total,IDA,1604188279,1638586691,1674238410,1711076534,1749141428,1788173625,1827438519
"Population, total",SP.POP.TOTL,Late-demographic dividend,LTE,2256276122,2271028438,2286095306,2298652685,2309164437,2316461820,2320449542
"Population, total",SP.POP.TOTL,Latin America & Caribbean,LCN,618868462,624737786,630414986,635778081,640962372,645497651,649234493
"Population, total",SP.POP.TOTL,Latin America & Caribbean (excluding high income),LAC,551075145,556440282,561957179,567711159,573311679,578091505,581884231
"Population, total",SP.POP.TOTL,Latin America & the Caribbean (IDA & IBRD countries),TLA,603091701,609017063,614776664,620274430,625467307,630051021,633862610
"Population, total",SP.POP.TOTL,Least developed countries: UN classification,LDC,962508256,985414939,1008993468,1033110314,1058013514,1083636132,1109175268
"Population, total",SP.POP.TOTL,Low & middle income,LMY,5941372154,6017298320,6094196886,6169917356,6243849229,6314223170,6378645843
"Population, total",SP.POP.TOTL,Low income,LIC,488308267,501149314,514890519,529522043,544980983,560643073,576076618
"Population, total",SP.POP.TOTL,Lower middle income,LMC,2765011526,2806590212,2847931114,2888561818,2928617292,2968398856,3006243027
"Population, total",SP.POP.TOTL,"Middle East, North Africa, Afghanistan & Pakistan",MEA,694232973,707023525,718887744,730362334,742714463,756405281,767578451
"Population, total",SP.POP.TOTL,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,635352686,645837915,656767614,668447432,680490997,692532027,704458802
"Population, total",SP.POP.TOTL,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,631082594,641470827,652312809,663878345,675805691,687728758,699536053
"Population, total",SP.POP.TOTL,Middle income,MIC,5453063887,5516149006,5579306367,5640395313,5698868246,5753580097,5802569225
"Population, total",SP.POP.TOTL,North America,NAC,357583083,360527592,363217262,365666028,367908829,369670740,370404272
"Population, total",SP.POP.TOTL,Not classified,INX,..,..,..,..,..,..,..
"Population, total",SP.POP.TOTL,OECD members,OED,1331675197,1340142055,1348127258,1356470975,1364155119,1369327995,1371811773
"Population, total",SP.POP.TOTL,Other small states,OSS,11722398,11851918,11989367,12135267,12281907,12417333,12541889
"Population, total",SP.POP.TOTL,Pacific island small states,PSS,2445989,2477794,2509999,2542009,2568656,2595522,2625493
"Population, total",SP.POP.TOTL,Post-demographic dividend,PST,1097890139,1102966925,1107161559,1111377470,1114907717,1117025276,1116609473
"Population, total",SP.POP.TOTL,Pre-demographic dividend,PRE,870587800,895239872,920568701,946317177,972302503,998624261,1024960313
"Population, total",SP.POP.TOTL,Small states,SST,18482578,18671045,18865506,19084934,19293697,19472157,19646549
"Population, total",SP.POP.TOTL,South Asia,SAS,1537370078,1555111864,1572520427,1589164714,1605412986,1621073417,1634785356
"Population, total",SP.POP.TOTL,South Asia (IDA & IBRD),TSA,1537370078,1555111864,1572520427,1589164714,1605412986,1621073417,1634785356
"Population, total",SP.POP.TOTL,Sub-Saharan Africa,SSF,1025251114,1052824144,1080941647,1109997000,1139315618,1169015451,1199011925
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (excluding high income),SSA,921290560,946011305,971179323,997236086,1023480610,1049999318,1076774079
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (IDA & IBRD countries),TSS,1025251114,1052824144,1080941647,1109997000,1139315618,1169015451,1199011925
"Population, total",SP.POP.TOTL,Upper middle income,UMC,2688052361,2709558794,2731375253,2751833495,2770250954,2785181241,2796326198
"Population, total",SP.POP.TOTL,World,WLD,7441826877,7529066617,7614748582,7697492379,7778303912,7855075060,7920861888
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,
Last Updated: 10/07/2025,,,,,,,,,,
