Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Population, total",SP.POP.TOTL,Nigeria,NGA,190671878,195443700,200254579,204938755,209485641,213996181,218529286
"Population, total",SP.POP.TOTL,North Macedonia,MKD,1912430,1906313,1898657,1889051,1876262,1856124,1837114
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,51514,50773,49959,49077,48129,47528,46979
"Population, total",SP.POP.TOTL,Norway,NOR,5188607,5234519,5276968,5311916,5347896,5379475,5408320
"Population, total",SP.POP.TOTL,Oman,OMN,4184895,4390877,4537396,4597877,4591241,4522497,4500424
"Population, total",SP.POP.TOTL,Pakistan,PAK,217290883,220138869,223273967,226928892,230800899,235001746,239477801
"Population, total",SP.POP.TOTL,Palau,PLW,17770,17797,17812,17814,17798,17792,17783
"Population, total",SP.POP.TOTL,Panama,PAN,3960035,4029086,4098707,4167860,4234700,4293261,4345405
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,8743246,8961718,9178714,9394513,9609010,9815746,10012896
"Population, total",SP.POP.TOTL,Paraguay,PRY,6159103,6249126,6338660,6427382,6515058,6603739,6684182
"Population, total",SP.POP.TOTL,Peru,PER,30457600,30866494,31324637,31897584,32449303,32838579,33155882
"Population, total",SP.POP.TOTL,Philippines,PHL,105312992,106735719,108119693,109465287,110804683,112081264,113100950
"Population, total",SP.POP.TOTL,Poland,POL,37986412,37970087,37974826,37974750,37965475,37515748,36981559
"Population, total",SP.POP.TOTL,Portugal,PRT,10358076,10325452,10300300,10283822,10286263,10297081,10361831
"Population, total",SP.POP.TOTL,Puerto Rico (US),PRI,3535167,3480432,3410837,3290690,3302691,3281590,3262711
"Population, total",SP.POP.TOTL,Qatar,QAT,2344557,2477113,2545820,2580734,2638657,2794148,2504910
"Population, total",SP.POP.TOTL,Romania,ROU,19815616,19702267,19588715,19473970,19371648,19265250,19122059
"Population, total",SP.POP.TOTL,Russian Federation,RUS,144640716,145015460,145293260,145398106,145453291,145245148,144746762
"Population, total",SP.POP.TOTL,Rwanda,RWA,11640022,11919183,12202060,12487996,12776103,13065837,13355260
"Population, total",SP.POP.TOTL,Samoa,WSM,201782,203499,205415,207582,209780,211944,213779
"Population, total",SP.POP.TOTL,San Marino,SMR,32897,33101,33825,34522,34663,34770,34252
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,200291,203689,206970,210187,213392,217435,221961
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,29816382,30954198,30977355,30196281,30063799,31552510,30784383
"Population, total",SP.POP.TOTL,Senegal,SEN,14593331,15034521,15475002,15914498,16352922,16789219,17220867
"Population, total",SP.POP.TOTL,Serbia,SRB,7095383,7058322,7020858,6982604,6945235,6899126,6834326
"Population, total",SP.POP.TOTL,Seychelles,SYC,93419,94677,95843,96762,97625,98462,99258
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,7037655,7205328,7379299,7554563,7731991,7912558,8094602
"Population, total",SP.POP.TOTL,Singapore,SGP,5535002,5607283,5612253,5638676,5703569,5685807,5453566
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,37471,38249,38996,39712,40385,41008,41571
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5423801,5430798,5439232,5446771,5454147,5458827,5447247
"Population, total",SP.POP.TOTL,Slovenia,SVN,2063531,2065042,2066388,2073894,2088385,2102419,2108079
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,639415,662379,685672,709101,728147,744498,762591
"Population, total",SP.POP.TOTL,"Somalia, Fed. Rep.",SOM,13806963,14348740,14916629,15452487,16030971,16651191,17271431
"Population, total",SP.POP.TOTL,South Africa,ZAF,56723537,57259551,57635162,58613001,59587885,60562381,61502603
